|06.02.2025, 22:09:46||"GET"|/js/app.js
|06.02.2025, 22:09:46||"GET"|/js/api.js
|06.02.2025, 22:09:46||"GET"|/js/ui.js
|06.02.2025, 22:14:34||"GET"|/
|06.02.2025, 22:14:34||Serving deck page
|06.02.2025, 22:14:34||"GET"|/CSS/style.css
|06.02.2025, 22:14:34||"GET"|/js/app.js
|06.02.2025, 22:14:34||"GET"|/js/api.js
|06.02.2025, 22:14:34||"GET"|/js/ui.js
|07.02.2025, 15:50:54||"GET"|/
|07.02.2025, 15:50:54||Serving deck page
|07.02.2025, 15:50:54||"GET"|/CSS/style.css
|07.02.2025, 15:50:54||"GET"|/js/app.js
|07.02.2025, 15:50:54||"GET"|/js/ui.js
|07.02.2025, 15:50:54||"GET"|/js/api.js
|08.02.2025, 01:18:28||"GET"|/?username=<script>alert("Hacked!")</script>
|08.02.2025, 01:18:28||Serving deck page
|09.02.2025, 22:17:51||"GET"|/api/refresh?spam=true
|09.02.2025, 22:17:51||"GET"|/ping
|09.02.2025, 22:17:51||"GET"|/api/refresh?spam=true
|09.02.2025, 22:17:51||"GET"|/api/refresh?spam=true
|09.02.2025, 22:17:51||"GET"|/api/refresh?spam=true
|09.02.2025, 22:17:51||"GET"|/api/refresh?spam=true
|09.02.2025, 22:17:51||"GET"|/api/refresh?spam=true
|09.02.2025, 22:17:51||"GET"|/api/refresh?spam=true
|09.02.2025, 22:17:51||"GET"|/api/refresh?spam=true
|09.02.2025, 22:17:51||"GET"|/api/refresh?spam=true
|09.02.2025, 22:17:51||"GET"|/api/refresh?spam=true
|09.02.2025, 22:17:51||"GET"|/api/refresh?spam=true
|09.02.2025, 22:17:51||"GET"|/api/refresh?spam=true
|09.02.2025, 22:17:51||"GET"|/api/refresh?spam=true
|09.02.2025, 22:17:51||"GET"|/api/refresh?spam=true
|09.02.2025, 22:17:51||"GET"|/api/refresh?spam=true
|09.02.2025, 22:17:51||"GET"|/api/refresh?spam=true
|09.02.2025, 22:46:44||"GET"|/protected-endpoint
|09.02.2025, 22:46:44||"POST"|/comment
|09.02.2025, 22:46:44||"GET"|/rapid-endpoint
|09.02.2025, 22:46:44||"GET"|/rapid-endpoint
|09.02.2025, 22:46:44||"GET"|/rapid-endpoint
|09.02.2025, 22:46:44||"GET"|/rapid-endpoint
|09.02.2025, 22:46:44||"GET"|/rapid-endpoint
|09.02.2025, 22:46:44||"GET"|/rapid-endpoint
|09.02.2025, 22:46:44||"GET"|/rapid-endpoint
|09.02.2025, 22:46:44||"GET"|/rapid-endpoint
|09.02.2025, 22:46:44||"GET"|/rapid-endpoint
|09.02.2025, 22:46:44||"GET"|/rapid-endpoint
|09.02.2025, 22:46:44||"GET"|/rapid-endpoint
|09.02.2025, 22:46:44||"GET"|/rapid-endpoint
|09.02.2025, 22:46:44||"GET"|/rapid-endpoint
|09.02.2025, 22:46:44||"GET"|/rapid-endpoint
|09.02.2025, 22:46:44||"GET"|/rapid-endpoint
|09.02.2025, 22:46:44||"POST"|/deck
|09.02.2025, 22:46:44||"POST"|/deck
|09.02.2025, 22:57:03||"POST"|/deck
|09.02.2025, 23:01:00||"POST"|/deck
|09.02.2025, 23:02:36||"POST"|/deck
|09.02.2025, 23:04:43||"POST"|/deck
|09.02.2025, 23:04:43||"POST"|/deck
|09.02.2025, 23:04:43||"POST"|/deck
|09.02.2025, 23:04:43||"POST"|/deck
|09.02.2025, 23:04:43||"POST"|/deck
|09.02.2025, 23:04:43||"POST"|/deck
